PropertyID,Month,Rent
MH 1530,2026-04,15491.99
MH 5401,2025-08,4362.16
MH 5401,2025-09,13388.21
MH 5401,2025-10,13520.31
MH 5401,2025-11,10568.61
MH 5401,2025-12,13500.41
MH 5401,2026-01,12067.38
MH 5401,2026-02,12541.96
MH 5401,2026-03,12098.56
MH 5401,2026-04,10253.96
MH 416,2025-08,860.65
MH 416,2025-09,6619.24
MH 416,2025-10,5606.71
MH 416,2025-11,8985.89
MH 416,2025-12,8573.09
MH 416,2026-01,10813.28
MH 416,2026-02,8609.69
MH 416,2026-03,7736.11
MH 416,2026-04,6359.82
MH 1181,2025-08,17103.08
MH 1181,2025-09,20275.73
MH 1181,2025-10,15118.61
MH 1181,2025-11,18425.06
MH 1181,2025-12,17480.47
MH 1181,2026-01,16608.28
MH 1181,2026-02,15667.99
MH 1181,2026-03,14622.61
MH 1181,2026-04,19140.68
MH 2015,2025-08,3620.82
MH 2015,2025-09,4743.06
MH 2015,2025-10,17409
MH 2015,2025-11,1263.57
MH 2015,2025-12,14002.6
MH 2015,2026-01,9210.19
MH 2015,2026-02,10098.14
MH 2015,2026-03,12974.85
MH 2015,2026-04,10305.22
MH 1334,2025-08,6393.31
MH 1334,2025-09,20441.85
MH 1334,2025-10,15360.99
MH 1334,2025-11,18731.98
MH 1334,2025-12,20110.75
MH 1334,2026-01,14363.05
MH 1334,2026-02,17901.87
MH 1334,2026-03,15305.16
MH 1334,2026-04,17755.23
MH 1151,2025-08,22127.54
MH 1151,2025-09,17948.51
MH 1151,2025-10,23007.47
MH 1151,2025-11,23878.35
MH 1151,2025-12,23313.47
MH 1151,2026-01,20694.59
MH 1151,2026-02,23055.4
MH 1151,2026-03,19932.97
MH 1151,2026-04,25701.02
MH 1171,2025-08,14417.13
MH 1171,2025-09,33847.34
MH 1171,2025-10,30520.29
MH 1171,2025-11,26176.65
MH 1171,2025-12,38212.28
MH 1171,2026-01,30578.7
MH 1171,2026-02,33405.7
MH 1171,2026-03,33209.38
MH 1171,2026-04,33243.65
MH 1137,2025-08,3244.42
MH 1137,2025-09,3777.92
MH 1137,2025-10,4881.6
MH 1137,2025-11,3776.91
MH 1137,2025-12,5526.49
MH 1137,2026-01,5955.47
MH 1137,2026-02,5941.36
MH 1137,2026-03,5554.44
MH 1137,2026-04,4415.91
MH 3505,2025-08,6199.88
MH 3505,2025-09,2785.55
MH 3505,2025-10,1752.19
MH 3505,2025-11,2614.51
MH 3505,2025-12,4126.7
MH 3505,2026-01,5928.97
MH 3505,2026-02,5093.76
MH 3505,2026-03,-408.47
MH 3505,2026-04,2148.22
MH 1377,2025-08,18650.37
MH 1377,2025-09,25046.96
MH 1377,2025-10,33799.92
MH 1377,2025-11,28147.3
MH 1377,2025-12,38846.64
MH 1377,2026-01,35701.43
MH 1377,2026-02,31913.13
MH 1377,2026-03,26649.54
MH 1377,2026-04,37668.85
MH 1348PL,2025-08,14913.29
MH 1348PL,2025-09,17260.02
MH 1348PL,2025-10,17420.62
MH 1348PL,2025-11,21022.36
MH 1348PL,2025-12,28335.3
MH 1348PL,2026-01,19603.6
MH 1348PL,2026-02,21169.36
MH 1348PL,2026-03,21456.85
MH 1348PL,2026-04,21220.54
MH 1270,2025-08,18534.91
MH 1270,2025-09,14179.57
MH 1270,2025-10,25072.66
MH 1270,2025-11,26401.88
MH 1270,2025-12,30016.83
MH 1270,2026-01,25217.53
MH 1270,2026-02,24407.2
MH 1270,2026-03,22644.3
MH 1270,2026-04,23928.22
MH 3430,2025-08,18593.67
MH 3430,2025-09,19693.92
MH 3430,2025-10,29598.31
MH 3430,2025-11,28978.66
MH 3430,2025-12,24815.6
MH 3430,2026-01,27711.37
MH 3430,2026-02,30122.94
MH 3430,2026-03,30809.04
MH 3430,2026-04,36352.51
MH 1204,2025-11,-2609.52
MH 1204,2025-12,4373.85
MH 1204,2026-01,2955.36
MH 1204,2026-02,22194.96
MH 1204,2026-03,18910.85
MH 1204,2026-04,17652.89
MH 1223,2026-01,-2345.2
MH 1223,2026-02,35749.73
MH 1223,2026-03,37343.92
MH 1223,2026-04,22535.32
ML1348,2025-08,-2370.38
ML1348,2025-09,5606.99
ML1348,2025-10,13696.25
ML1348,2025-11,9729.14
ML1348,2025-12,6326.99
ML1348,2026-01,4338.6
ML1348,2026-02,3211.8
ML1348,2026-03,9472.5
ML1348,2026-04,6385.47
ML3111,2025-08,-7249.93
ML3111,2025-09,2925.67
ML3111,2025-10,1188.55
ML3111,2025-11,8261.51
ML3111,2025-12,2833.13
ML3111,2026-01,2017.78
ML3111,2026-02,2781.66
ML3111,2026-03,1572.52
ML3111,2026-04,6731.19
ML3806,2025-08,12126.01
ML3806,2025-09,4289.18
ML3806,2025-10,16474.64
ML3806,2025-11,7980.52
ML3806,2025-12,4136.77
ML3806,2026-01,3372.84
ML3806,2026-02,902.78
ML3806,2026-03,2409.54
ML3806,2026-04,15658.67
ML3439,2025-08,-5062.66
ML3439,2025-09,247.56
ML3439,2025-10,5761.71
ML3439,2025-11,4290.76
ML3439,2025-12,4029.76
ML3439,2026-01,3414.79
ML3439,2026-02,3632.52
ML3439,2026-03,3652.52
ML3439,2026-04,4412.51
ML3507,2025-08,4433.64
ML3507,2025-09,-3782.44
ML3507,2025-10,12335.21
ML3507,2025-11,3421.98
ML3507,2025-12,3686.56
ML3507,2026-01,2672.74
ML3507,2026-02,2572.52
ML3507,2026-03,862.52
ML3507,2026-04,7068.7
ML1638,2025-08,-3900.14
ML1638,2025-09,-13485.36
ML1638,2025-10,-1863.36
ML1638,2025-11,7080.95
ML1638,2025-12,11457.92
ML1638,2026-01,4004.81
ML1638,2026-02,8702.7
ML1638,2026-03,12016.42
ML1638,2026-04,6713.67
ML512,2025-08,6600.5
ML512,2025-09,-2466.24
ML512,2025-10,10031.33
ML512,2025-11,8658.01
ML512,2025-12,3928.98
ML512,2026-01,7203.42
ML512,2026-02,6699.78
ML512,2026-03,6219.78
ML512,2026-04,8795.19
ML11088,2025-08,10032.29
ML11088,2025-09,4152.17
ML11088,2025-10,17351.6
ML11088,2025-11,13378.83
ML11088,2025-12,7417.03
ML11088,2026-01,8651.74
ML11088,2026-02,10093.06
ML11088,2026-03,16286.6
ML11088,2026-04,11713.24
ML10811,2025-08,1008.04
ML10811,2025-09,-3959.45
ML10811,2025-10,-6075.29
ML10811,2025-11,2884.95
ML10811,2025-12,1187.19
ML10811,2026-01,1312.71
ML10811,2026-02,811.28
ML10811,2026-03,4741.28
ML10811,2026-04,11909.78
MH 1726,2025-08,3219.49
MH 1726,2025-09,5890.72
MH 1726,2025-10,3748.66
MH 1726,2025-11,5285.12
MH 1726,2025-12,-130.34
MH 1726,2026-01,1762.42
MH 1726,2026-02,-345
MH 1726,2026-03,5906.12
MH 1726,2026-04,2557.49
MH 1922,2025-08,8571.73
MH 1922,2025-09,2467.43
MH 1922,2025-10,7006.22
MH 1922,2025-11,7024.55
MH 1922,2025-12,7117.97
MH 1922,2026-01,6696.56
MH 1922,2026-02,6156
MH 1922,2026-03,6370.07
MH 1922,2026-04,7310
